№,файл,ключ,где звучит,на экране,что говорит голос,примечание
20,tour.door,tour.door,знакомство с домом,Здесь магазин.,Здесь магазин.,"черновик, утвердить до записи"
21,tour.bowl,tour.bowl,знакомство с домом,Сюда кладём еду.,Сюда кладём еду.,"черновик, утвердить до записи"
22,tour.soap,tour.soap,знакомство с домом,Потри меня мылом.,Потри меня мылом.,"черновик, утвердить до записи"
23,tour.piggy,tour.piggy,знакомство с домом,Здесь копим на подарок.,Здесь копим на подарок.,"черновик, утвердить до записи"
24,tour.note,tour.note,знакомство с домом,Это задание недели.,Это задание недели.,"черновик, утвердить до записи"
25,tour.calendar,tour.calendar,знакомство с домом,Тут итог недели.,Тут итог недели.,"черновик, утвердить до записи"
26,hint.planFirst,hint.planFirst,дом,Сначала разложим монеты.,Сначала разложим монеты.,"новая строка, подсказка питомца"
27,hint.buyFood,hint.buyFood,дом,Сначала купим еду.,Сначала купим еду.,"новая строка, подсказка питомца"
28,hint.buySoap,hint.buySoap,дом,Сначала купим мыло.,Сначала купим мыло.,"новая строка, подсказка питомца"
29,hint.weekGoes,hint.weekGoes,дом,Неделя ещё идёт.,Неделя ещё идёт.,"новая строка, подсказка питомца"
30,hint.hungry,hint.hungry,дом,Мне бы поесть.,Мне бы поесть.,"новая строка, подсказка питомца"
31,stage.grow,stage.grow,дом,"Смотри, я расту.","Смотри, я расту.","новая строка, подсказка питомца"
32,stage.why,stage.why,дом,"Мы заботились, копили и планировали.","Мы заботились, копили и планировали.","новая строка, подсказка питомца"
33,parcel.note.first,parcel.note.first,"дом, посылка",Бабушка Тося прислала посылку.,Бабушка Тося прислала посылку.,
34,parcel.note.again,parcel.note.again,"дом, посылка",Бабушка Тося прислала ещё монет.,Бабушка Тося прислала ещё монет.,
35,parcel.amount,parcel.amount,"дом, посылка",Теперь у тебя {n} {coins}.,"Смотри, сколько монет.","на экране число, голос без числа"
36,parcel.none.1,parcel.none.1,"дом, посылка",У тебя ещё есть монеты.,У тебя ещё есть монеты.,
37,parcel.none.2,parcel.none.2,"дом, посылка",Бабушка пришлёт потом.,Бабушка пришлёт потом.,
38,announce.food.1,announce.food.1,"дом, объявление",Я хочу есть.,Я хочу есть.,
39,announce.wash.1,announce.wash.1,"дом, объявление",Я хочу помыться.,Я хочу помыться.,
40,announce.prices.food,announce.prices.food,"дом, объявление","Каша 5, мыло 3 монеты.","Каша 5, мыло 3 монеты.",
41,announce.prices.wash,announce.prices.wash,"дом, объявление","Мыло 3, каша 5 монет.","Мыло 3, каша 5 монет.",
42,announce.common.3,announce.common.3,"дом, объявление",Это нужно на этой неделе.,Это нужно на этой неделе.,
43,home.careHint,home.careHint,дом,Покорми и умой.,Покорми и умой.,
44,task.F1.title,task.F1.title,"дом, записка",Что взять на неделю,Что взять на неделю,
45,task.F5.title,task.F5.title,"дом, записка",Мячик сейчас или подарок потом,Мячик сейчас или подарок потом,
46,plan.title,plan.title,план,Разложи монеты,Разложи монеты,
47,shop.title,shop.title,магазин,Что возьмёшь на неделю?,Что возьмёшь на неделю?,
48,shop.caption.food,shop.caption.food,магазин,Все одинаково сытные.,Все одинаково сытные.,
49,shop.caption.soap,shop.caption.soap,магазин,Оба одинаково моют.,Оба одинаково моют.,
50,shortfall.want.1,shortfall.want.1,"магазин, не хватает",Не хватает: {n} {coins}.,Монет не хватает.,"на экране число, голос без числа; эта же запись для shortfall.savings.1"
51,shortfall.want.2,shortfall.want.2,"магазин, не хватает",В «Хочу» есть {n}.,Можно взять из «Хочу».,"на экране число, голос без числа"
52,shortfall.savings.2,shortfall.savings.2,"магазин, не хватает",Взять из копилки?,Взять из копилки?,
53,shortfall.savings.3,shortfall.savings.3,"магазин, не хватает",Останется {n} из {goal}.,Копилка станет меньше.,на экране число; эта же запись для f5.left
54,shortfall.none.2,shortfall.none.2,"магазин, не хватает",В копилке {s}.,В копилке мало монет.,"на экране число, голос без числа"
55,explain.did,explain.did,после магазина,Мы купили {what}.,Мы сделали покупки.,"на экране список покупок, голос без списка; эта же запись для explain.didList"
56,explain.didNothing,explain.didNothing,после магазина,Мы ничего не купили.,Мы ничего не купили.,
57,explain.resultNeed,explain.resultNeed,после магазина,В «Нужном» осталось {n}.,"Посмотри, сколько осталось.",на экране число; эта же запись для explain.resultWant
58,explain.needs.all,explain.needs.all,после магазина,Всё нужное на неделю есть.,Всё нужное на неделю есть.,
59,explain.needs.no.food,explain.needs.no.food,после магазина,Еды на неделю пока нет.,Еды на неделю пока нет.,
60,explain.needs.no.soap,explain.needs.no.soap,после магазина,Мыла на неделю пока нет.,Мыла на неделю пока нет.,
61,explain.needs.none,explain.needs.none,после магазина,Еды и мыла пока нет.,Еды и мыла пока нет.,
62,piggy.title,piggy.title,копилка,Копилка,Копилка,
63,piggy.saved,piggy.saved,копилка,Накопили {n} из {goal}.,Вот сколько мы накопили.,"на экране число, голос без числа"
64,piggy.ready,piggy.ready,копилка,Накопили {n} из {goal}. Подарок готов.,Подарок готов.,"на экране число, голос только вторая фраза"
65,f5.title,f5.title,"копилка, задание",Мячик или подарок?,Мячик или подарок?,
66,f5.preview,f5.preview,"копилка, задание",Возьмёшь {n} из копилки.,Возьмёшь 15 из копилки.,"число здесь всегда 15, пишем как есть"
67,f5.giftYes,f5.giftYes,"копилка, задание",Подарок всё равно будет.,Подарок всё равно будет.,
68,f5.giftNo,f5.giftNo,"копилка, задание",Подарка тогда не будет.,Подарка тогда не будет.,
69,f5.notEnough,f5.notEnough,"копилка, задание",В копилке мало монет,В копилке мало монет,
70,f5.did.take,f5.did.take,"копилка, задание",Мы взяли мячик.,Мы взяли мячик.,
71,f5.did.keep,f5.did.keep,"копилка, задание",Мы оставили монеты в копилке.,Мы оставили монеты в копилке.,
72,f5.meaning.yes,f5.meaning.yes,"копилка, задание",На подарок хватит.,На подарок хватит.,
73,f5.meaning.no,f5.meaning.no,"копилка, задание",На подарок не хватит.,На подарок не хватит.,
74,f5.result,f5.result,"копилка, задание",В копилке {n} {coins}.,"Посмотри, сколько в копилке.","на экране число, голос без числа"
75,summary.title,summary.title,итог недели,Что задумали и что вышло,Что задумали и что вышло,
76,summary.took.krupa,summary.took#krupa,итог недели,Мы взяли крупу.,Мы взяли крупу.,вариант summary.took для покупки недели
77,summary.took.kasha,summary.took#kasha,итог недели,Мы взяли кашу.,Мы взяли кашу.,вариант summary.took для покупки недели
78,summary.took.kasha_yagody,summary.took#kasha_yagody,итог недели,Мы взяли кашу с ягодами.,Мы взяли кашу с ягодами.,вариант summary.took для покупки недели
79,summary.took.mylo,summary.took#mylo,итог недели,Мы взяли мыло.,Мы взяли мыло.,вариант summary.took для покупки недели
80,summary.took.mylo_pena,summary.took#mylo_pena,итог недели,Мы взяли мыло с пеной.,Мы взяли мыло с пеной.,вариант summary.took для покупки недели
81,summary.spillWant,summary.spillWant,итог недели,Из «Хочу» {n} {coins}.,Часть взяли из «Хочу».,"на экране число, голос без числа"
82,summary.spillSavings,summary.spillSavings,итог недели,Из копилки {n} {coins}.,Часть взяли из копилки.,"на экране число, голос без числа"
83,summary.left,summary.left,итог недели,У тебя {n} {coins}.,Остальное у тебя.,"на экране число, голос без числа"
84,summary.notFed,summary.notFed,итог недели,Я неделю без еды.,Я неделю без еды.,
85,summary.notWashed,summary.notWashed,итог недели,Я неделю без мытья.,Я неделю без мытья.,
86,event.1,event.1,день рождения Киры,У Киры день рождения.,У Киры день рождения.,
87,event.a.2.podarok_myach,event.a.2#podarok_myach,день рождения Киры,Мы подарили Кире мяч.,Мы подарили Кире мяч.,вариант event.a.2 для выбранной цели
88,event.a.2.podarok_kniga,event.a.2#podarok_kniga,день рождения Киры,Мы подарили Кире книжку.,Мы подарили Кире книжку.,вариант event.a.2 для выбранной цели
89,event.a.2.podarok_samokat,event.a.2#podarok_samokat,день рождения Киры,Мы подарили Кире самокат.,Мы подарили Кире самокат.,вариант event.a.2 для выбранной цели
90,event.a.3,event.a.3,день рождения Киры,Кира рада.,Кира рада.,
91,event.b.2,event.b.2,день рождения Киры,Монет на подарок не хватило.,Монет на подарок не хватило.,
92,event.b.3,event.b.3,день рождения Киры,Я рисую Кире открытку.,Я рисую Кире открытку.,
93,event.b.4,event.b.4,день рождения Киры,Кира всё равно рада.,Кира всё равно рада.,
